Self-contained mixed benchmark wrappers generated by generate_selfcontained_mixed_wrappers.m
Variables follow the fixed cyclic pattern C,K,D,C,D,K,...
Heterogeneity strategies apply ONLY to continuous variables.

baseline_1/ackley_k108_k34_k21_10D.m    (p=1, n=10, strategy=baseline, kappa=1)
spatial_thermal_9e4/cauchy_k86_k64_k25_10D.m    (p=7, n=10, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/cauchy_k86_k64_k25_10D.m    (p=7, n=10, strategy=halton_oscillatory, kappa=1000000)
baseline_1/cosine_mixture_k97_2D.m    (p=8, n=2, strategy=baseline, kappa=1)
moderate_1e4/cosine_mixture_k97_2D.m    (p=8, n=2, strategy=moderate, kappa=10000)
progressive_1e6/cosine_mixture_k97_2D.m    (p=8, n=2, strategy=progressive, kappa=1000000)
extreme_1e8/cosine_mixture_k97_2D.m    (p=8, n=2, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/cosine_mixture_k97_2D.m    (p=8, n=2, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/cosine_mixture_k97_2D.m    (p=8, n=2, strategy=sobol_digit_oscillatory, kappa=100000000)
spatial_thermal_9e4/cosine_mixture_k97_2D.m    (p=8, n=2, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/cosine_mixture_k97_2D.m    (p=8, n=2, strategy=halton_oscillatory, kappa=1000000)
baseline_1/cosine_mixture_k54_4D.m    (p=9, n=4, strategy=baseline, kappa=1)
moderate_1e4/cosine_mixture_k54_4D.m    (p=9, n=4, strategy=moderate, kappa=10000)
progressive_1e6/cosine_mixture_k54_4D.m    (p=9, n=4, strategy=progressive, kappa=1000000)
extreme_1e8/cosine_mixture_k54_4D.m    (p=9, n=4, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/cosine_mixture_k54_4D.m    (p=9, n=4, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/cosine_mixture_k54_4D.m    (p=9, n=4, strategy=sobol_digit_oscillatory, kappa=100000000)
spatial_thermal_9e4/cosine_mixture_k54_4D.m    (p=9, n=4, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/cosine_mixture_k54_4D.m    (p=9, n=4, strategy=halton_oscillatory, kappa=1000000)
baseline_1/dekkers_aarts_k107_2D.m    (p=10, n=2, strategy=baseline, kappa=1)
moderate_1e4/dekkers_aarts_k107_2D.m    (p=10, n=2, strategy=moderate, kappa=10000)
progressive_1e6/dekkers_aarts_k107_2D.m    (p=10, n=2, strategy=progressive, kappa=1000000)
extreme_1e8/dekkers_aarts_k107_2D.m    (p=10, n=2, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/dekkers_aarts_k107_2D.m    (p=10, n=2, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/dekkers_aarts_k107_2D.m    (p=10, n=2, strategy=sobol_digit_oscillatory, kappa=100000000)
spatial_thermal_9e4/dekkers_aarts_k107_2D.m    (p=10, n=2, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/dekkers_aarts_k107_2D.m    (p=10, n=2, strategy=halton_oscillatory, kappa=1000000)
baseline_1/epistatic_michalewicz_k109_5D.m    (p=11, n=5, strategy=baseline, kappa=1)
moderate_1e4/epistatic_michalewicz_k109_5D.m    (p=11, n=5, strategy=moderate, kappa=10000)
progressive_1e6/epistatic_michalewicz_k109_5D.m    (p=11, n=5, strategy=progressive, kappa=1000000)
extreme_1e8/epistatic_michalewicz_k109_5D.m    (p=11, n=5, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/epistatic_michalewicz_k109_5D.m    (p=11, n=5, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/epistatic_michalewicz_k109_5D.m    (p=11, n=5, strategy=sobol_digit_oscillatory, kappa=100000000)
spatial_thermal_9e4/epistatic_michalewicz_k109_5D.m    (p=11, n=5, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/epistatic_michalewicz_k109_5D.m    (p=11, n=5, strategy=halton_oscillatory, kappa=1000000)
baseline_1/epistatic_michalewicz_k77_k73_k63_10D.m    (p=12, n=10, strategy=baseline, kappa=1)
moderate_1e4/epistatic_michalewicz_k77_k73_k63_10D.m    (p=12, n=10, strategy=moderate, kappa=10000)
progressive_1e6/epistatic_michalewicz_k77_k73_k63_10D.m    (p=12, n=10, strategy=progressive, kappa=1000000)
extreme_1e8/epistatic_michalewicz_k77_k73_k63_10D.m    (p=12, n=10, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/epistatic_michalewicz_k77_k73_k63_10D.m    (p=12, n=10, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/epistatic_michalewicz_k77_k73_k63_10D.m    (p=12, n=10, strategy=sobol_digit_oscillatory, kappa=100000000)
spatial_thermal_9e4/epistatic_michalewicz_k77_k73_k63_10D.m    (p=12, n=10, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/epistatic_michalewicz_k77_k73_k63_10D.m    (p=12, n=10, strategy=halton_oscillatory, kappa=1000000)
baseline_1/exponencial_k44_2D.m    (p=13, n=2, strategy=baseline, kappa=1)
moderate_1e4/exponencial_k44_2D.m    (p=13, n=2, strategy=moderate, kappa=10000)
progressive_1e6/exponencial_k44_2D.m    (p=13, n=2, strategy=progressive, kappa=1000000)
extreme_1e8/exponencial_k44_2D.m    (p=13, n=2, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/exponencial_k44_2D.m    (p=13, n=2, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/exponencial_k44_2D.m    (p=13, n=2, strategy=sobol_digit_oscillatory, kappa=100000000)
spatial_thermal_9e4/exponencial_k44_2D.m    (p=13, n=2, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/exponencial_k44_2D.m    (p=13, n=2, strategy=halton_oscillatory, kappa=1000000)
baseline_1/exponencial_k113_4D.m    (p=14, n=4, strategy=baseline, kappa=1)
moderate_1e4/exponencial_k113_4D.m    (p=14, n=4, strategy=moderate, kappa=10000)
progressive_1e6/exponencial_k113_4D.m    (p=14, n=4, strategy=progressive, kappa=1000000)
extreme_1e8/exponencial_k113_4D.m    (p=14, n=4, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/exponencial_k113_4D.m    (p=14, n=4, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/exponencial_k113_4D.m    (p=14, n=4, strategy=sobol_digit_oscillatory, kappa=100000000)
spatial_thermal_9e4/exponencial_k113_4D.m    (p=14, n=4, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/exponencial_k113_4D.m    (p=14, n=4, strategy=halton_oscillatory, kappa=1000000)
baseline_1/fifteenn_local_minima_k127_2D.m    (p=15, n=2, strategy=baseline, kappa=1)
moderate_1e4/fifteenn_local_minima_k127_2D.m    (p=15, n=2, strategy=moderate, kappa=10000)
progressive_1e6/fifteenn_local_minima_k127_2D.m    (p=15, n=2, strategy=progressive, kappa=1000000)
extreme_1e8/fifteenn_local_minima_k127_2D.m    (p=15, n=2, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/fifteenn_local_minima_k127_2D.m    (p=15, n=2, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/fifteenn_local_minima_k127_2D.m    (p=15, n=2, strategy=sobol_digit_oscillatory, kappa=100000000)
spatial_thermal_9e4/fifteenn_local_minima_k127_2D.m    (p=15, n=2, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/fifteenn_local_minima_k127_2D.m    (p=15, n=2, strategy=halton_oscillatory, kappa=1000000)
baseline_1/fifteenn_local_minima_k114_4D.m    (p=16, n=4, strategy=baseline, kappa=1)
moderate_1e4/fifteenn_local_minima_k114_4D.m    (p=16, n=4, strategy=moderate, kappa=10000)
progressive_1e6/fifteenn_local_minima_k114_4D.m    (p=16, n=4, strategy=progressive, kappa=1000000)
extreme_1e8/fifteenn_local_minima_k114_4D.m    (p=16, n=4, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/fifteenn_local_minima_k114_4D.m    (p=16, n=4, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/fifteenn_local_minima_k114_4D.m    (p=16, n=4, strategy=sobol_digit_oscillatory, kappa=100000000)
spatial_thermal_9e4/fifteenn_local_minima_k114_4D.m    (p=16, n=4, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/fifteenn_local_minima_k114_4D.m    (p=16, n=4, strategy=halton_oscillatory, kappa=1000000)
baseline_1/fifteenn_local_minima_k59_k28_6D.m    (p=17, n=6, strategy=baseline, kappa=1)
moderate_1e4/fifteenn_local_minima_k59_k28_6D.m    (p=17, n=6, strategy=moderate, kappa=10000)
progressive_1e6/fifteenn_local_minima_k59_k28_6D.m    (p=17, n=6, strategy=progressive, kappa=1000000)
extreme_1e8/fifteenn_local_minima_k59_k28_6D.m    (p=17, n=6, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/fifteenn_local_minima_k59_k28_6D.m    (p=17, n=6, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/fifteenn_local_minima_k59_k28_6D.m    (p=17, n=6, strategy=sobol_digit_oscillatory, kappa=100000000)
spatial_thermal_9e4/fifteenn_local_minima_k59_k28_6D.m    (p=17, n=6, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/fifteenn_local_minima_k59_k28_6D.m    (p=17, n=6, strategy=halton_oscillatory, kappa=1000000)
baseline_1/fifteenn_local_minima_k89_k46_k29_8D.m    (p=18, n=8, strategy=baseline, kappa=1)
moderate_1e4/fifteenn_local_minima_k89_k46_k29_8D.m    (p=18, n=8, strategy=moderate, kappa=10000)
progressive_1e6/fifteenn_local_minima_k89_k46_k29_8D.m    (p=18, n=8, strategy=progressive, kappa=1000000)
extreme_1e8/fifteenn_local_minima_k89_k46_k29_8D.m    (p=18, n=8, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/fifteenn_local_minima_k89_k46_k29_8D.m    (p=18, n=8, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/fifteenn_local_minima_k89_k46_k29_8D.m    (p=18, n=8, strategy=sobol_digit_oscillatory, kappa=100000000)
spatial_thermal_9e4/fifteenn_local_minima_k89_k46_k29_8D.m    (p=18, n=8, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/fifteenn_local_minima_k89_k46_k29_8D.m    (p=18, n=8, strategy=halton_oscillatory, kappa=1000000)
baseline_1/fifteenn_local_minima_k101_k69_k27_10D.m    (p=19, n=10, strategy=baseline, kappa=1)
moderate_1e4/fifteenn_local_minima_k101_k69_k27_10D.m    (p=19, n=10, strategy=moderate, kappa=10000)
progressive_1e6/fifteenn_local_minima_k101_k69_k27_10D.m    (p=19, n=10, strategy=progressive, kappa=1000000)
extreme_1e8/fifteenn_local_minima_k101_k69_k27_10D.m    (p=19, n=10, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/fifteenn_local_minima_k101_k69_k27_10D.m    (p=19, n=10, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/fifteenn_local_minima_k101_k69_k27_10D.m    (p=19, n=10, strategy=sobol_digit_oscillatory, kappa=100000000)
spatial_thermal_9e4/fifteenn_local_minima_k101_k69_k27_10D.m    (p=19, n=10, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/fifteenn_local_minima_k101_k69_k27_10D.m    (p=19, n=10, strategy=halton_oscillatory, kappa=1000000)
baseline_1/fletcher_powell_k113_3D.m    (p=20, n=3, strategy=baseline, kappa=1)
moderate_1e4/fletcher_powell_k113_3D.m    (p=20, n=3, strategy=moderate, kappa=10000)
progressive_1e6/fletcher_powell_k113_3D.m    (p=20, n=3, strategy=progressive, kappa=1000000)
extreme_1e8/fletcher_powell_k113_3D.m    (p=20, n=3, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/fletcher_powell_k113_3D.m    (p=20, n=3, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/fletcher_powell_k113_3D.m    (p=20, n=3, strategy=sobol_digit_oscillatory, kappa=100000000)
spatial_thermal_9e4/fletcher_powell_k113_3D.m    (p=20, n=3, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/fletcher_powell_k113_3D.m    (p=20, n=3, strategy=halton_oscillatory, kappa=1000000)
baseline_1/goldstein_price_k32_2D.m    (p=21, n=2, strategy=baseline, kappa=1)
moderate_1e4/goldstein_price_k32_2D.m    (p=21, n=2, strategy=moderate, kappa=10000)
progressive_1e6/goldstein_price_k32_2D.m    (p=21, n=2, strategy=progressive, kappa=1000000)
extreme_1e8/goldstein_price_k32_2D.m    (p=21, n=2, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/goldstein_price_k32_2D.m    (p=21, n=2, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/goldstein_price_k32_2D.m    (p=21, n=2, strategy=sobol_digit_oscillatory, kappa=100000000)
spatial_thermal_9e4/goldstein_price_k32_2D.m    (p=21, n=2, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/goldstein_price_k32_2D.m    (p=21, n=2, strategy=halton_oscillatory, kappa=1000000)
baseline_1/griewank_k83_k26_k23_10D.m    (p=22, n=10, strategy=baseline, kappa=1)
moderate_1e4/griewank_k83_k26_k23_10D.m    (p=22, n=10, strategy=moderate, kappa=10000)
progressive_1e6/griewank_k83_k26_k23_10D.m    (p=22, n=10, strategy=progressive, kappa=1000000)
extreme_1e8/griewank_k83_k26_k23_10D.m    (p=22, n=10, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/griewank_k83_k26_k23_10D.m    (p=22, n=10, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/griewank_k83_k26_k23_10D.m    (p=22, n=10, strategy=sobol_digit_oscillatory, kappa=100000000)
spatial_thermal_9e4/griewank_k83_k26_k23_10D.m    (p=22, n=10, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/griewank_k83_k26_k23_10D.m    (p=22, n=10, strategy=halton_oscillatory, kappa=1000000)
baseline_1/griewank_k101_5D.m    (p=23, n=5, strategy=baseline, kappa=1)
moderate_1e4/griewank_k101_5D.m    (p=23, n=5, strategy=moderate, kappa=10000)
progressive_1e6/griewank_k101_5D.m    (p=23, n=5, strategy=progressive, kappa=1000000)
extreme_1e8/griewank_k101_5D.m    (p=23, n=5, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/griewank_k101_5D.m    (p=23, n=5, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/griewank_k101_5D.m    (p=23, n=5, strategy=sobol_digit_oscillatory, kappa=100000000)
spatial_thermal_9e4/griewank_k101_5D.m    (p=23, n=5, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/griewank_k101_5D.m    (p=23, n=5, strategy=halton_oscillatory, kappa=1000000)
baseline_1/gulf_k106_3D.m    (p=24, n=3, strategy=baseline, kappa=1)
moderate_1e4/gulf_k106_3D.m    (p=24, n=3, strategy=moderate, kappa=10000)
progressive_1e6/gulf_k106_3D.m    (p=24, n=3, strategy=progressive, kappa=1000000)
extreme_1e8/gulf_k106_3D.m    (p=24, n=3, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/gulf_k106_3D.m    (p=24, n=3, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/gulf_k106_3D.m    (p=24, n=3, strategy=sobol_digit_oscillatory, kappa=100000000)
spatial_thermal_9e4/gulf_k106_3D.m    (p=24, n=3, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/gulf_k106_3D.m    (p=24, n=3, strategy=halton_oscillatory, kappa=1000000)
baseline_1/hartman_4_k42_3D.m    (p=25, n=3, strategy=baseline, kappa=1)
moderate_1e4/hartman_4_k42_3D.m    (p=25, n=3, strategy=moderate, kappa=10000)
progressive_1e6/hartman_4_k42_3D.m    (p=25, n=3, strategy=progressive, kappa=1000000)
extreme_1e8/hartman_4_k42_3D.m    (p=25, n=3, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/hartman_4_k42_3D.m    (p=25, n=3, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/hartman_4_k42_3D.m    (p=25, n=3, strategy=sobol_digit_oscillatory, kappa=100000000)
spatial_thermal_9e4/hartman_4_k42_3D.m    (p=25, n=3, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/hartman_4_k42_3D.m    (p=25, n=3, strategy=halton_oscillatory, kappa=1000000)
baseline_1/hartman_4_k95_k68_6D.m    (p=26, n=6, strategy=baseline, kappa=1)
moderate_1e4/hartman_4_k95_k68_6D.m    (p=26, n=6, strategy=moderate, kappa=10000)
progressive_1e6/hartman_4_k95_k68_6D.m    (p=26, n=6, strategy=progressive, kappa=1000000)
extreme_1e8/hartman_4_k95_k68_6D.m    (p=26, n=6, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/hartman_4_k95_k68_6D.m    (p=26, n=6, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/hartman_4_k95_k68_6D.m    (p=26, n=6, strategy=sobol_digit_oscillatory, kappa=100000000)
spatial_thermal_9e4/hartman_4_k95_k68_6D.m    (p=26, n=6, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/hartman_4_k95_k68_6D.m    (p=26, n=6, strategy=halton_oscillatory, kappa=1000000)
baseline_1/hosaki_k59_2D.m    (p=27, n=2, strategy=baseline, kappa=1)
moderate_1e4/hosaki_k59_2D.m    (p=27, n=2, strategy=moderate, kappa=10000)
progressive_1e6/hosaki_k59_2D.m    (p=27, n=2, strategy=progressive, kappa=1000000)
extreme_1e8/hosaki_k59_2D.m    (p=27, n=2, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/hosaki_k59_2D.m    (p=27, n=2, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/hosaki_k59_2D.m    (p=27, n=2, strategy=sobol_digit_oscillatory, kappa=100000000)
spatial_thermal_9e4/hosaki_k59_2D.m    (p=27, n=2, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/hosaki_k59_2D.m    (p=27, n=2, strategy=halton_oscillatory, kappa=1000000)
baseline_1/kowalik_k54_4D.m    (p=28, n=4, strategy=baseline, kappa=1)
moderate_1e4/kowalik_k54_4D.m    (p=28, n=4, strategy=moderate, kappa=10000)
progressive_1e6/kowalik_k54_4D.m    (p=28, n=4, strategy=progressive, kappa=1000000)
extreme_1e8/kowalik_k54_4D.m    (p=28, n=4, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/kowalik_k54_4D.m    (p=28, n=4, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/kowalik_k54_4D.m    (p=28, n=4, strategy=sobol_digit_oscillatory, kappa=100000000)
spatial_thermal_9e4/kowalik_k54_4D.m    (p=28, n=4, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/kowalik_k54_4D.m    (p=28, n=4, strategy=halton_oscillatory, kappa=1000000)
baseline_1/langerman_k81_k38_k21_10D.m    (p=29, n=10, strategy=baseline, kappa=1)
moderate_1e4/langerman_k81_k38_k21_10D.m    (p=29, n=10, strategy=moderate, kappa=10000)
progressive_1e6/langerman_k81_k38_k21_10D.m    (p=29, n=10, strategy=progressive, kappa=1000000)
extreme_1e8/langerman_k81_k38_k21_10D.m    (p=29, n=10, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/langerman_k81_k38_k21_10D.m    (p=29, n=10, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/langerman_k81_k38_k21_10D.m    (p=29, n=10, strategy=sobol_digit_oscillatory, kappa=100000000)
spatial_thermal_9e4/langerman_k81_k38_k21_10D.m    (p=29, n=10, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/langerman_k81_k38_k21_10D.m    (p=29, n=10, strategy=halton_oscillatory, kappa=1000000)
baseline_1/mccormick_k90_2D.m    (p=30, n=2, strategy=baseline, kappa=1)
moderate_1e4/mccormick_k90_2D.m    (p=30, n=2, strategy=moderate, kappa=10000)
progressive_1e6/mccormick_k90_2D.m    (p=30, n=2, strategy=progressive, kappa=1000000)
extreme_1e8/mccormick_k90_2D.m    (p=30, n=2, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/mccormick_k90_2D.m    (p=30, n=2, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/mccormick_k90_2D.m    (p=30, n=2, strategy=sobol_digit_oscillatory, kappa=100000000)
spatial_thermal_9e4/mccormick_k90_2D.m    (p=30, n=2, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/mccormick_k90_2D.m    (p=30, n=2, strategy=halton_oscillatory, kappa=1000000)
baseline_1/meyer_roth_k114_3D.m    (p=31, n=3, strategy=baseline, kappa=1)
moderate_1e4/meyer_roth_k114_3D.m    (p=31, n=3, strategy=moderate, kappa=10000)
progressive_1e6/meyer_roth_k114_3D.m    (p=31, n=3, strategy=progressive, kappa=1000000)
extreme_1e8/meyer_roth_k114_3D.m    (p=31, n=3, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/meyer_roth_k114_3D.m    (p=31, n=3, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/meyer_roth_k114_3D.m    (p=31, n=3, strategy=sobol_digit_oscillatory, kappa=100000000)
